id,title,price,sold_quantity,available_quantity,condition,site_id,category_id
MLA1387771125,Amazon Tv Stick Fire Tv Stick 4k Max K2r2te De Voz 1.ª Generación 4k 8gb Negro Con 2gb De Memoria Ram,54000,5,1,new,MLA,MLA352001
MLA1473218264,"Amazon Fire Tv Stick 4k Streaming, Con Alexa Voice Remote Color Negro",78185,1,1,new,MLA,MLA352001
MLA1525228308,Amazon Fire Tv Stick Lite Control Por Voz Alexa Fhd 1080p Color Negro Tipo De Control Remoto De Voz,43999,2,1,new,MLA,MLA352001
MLA1492735014,Amazon Max Fire Tv Stick 4k Max B08mqzxn1x Control De Voz 3.ª Generación 8gb Negro Con 2gb De Memoria Ram,53950,1,1,new,MLA,MLA352001
MLA1106495695, Amazon Fire Tv Stick Lite Full Hd 8gb 1gb Ram Streaming ,39999,100,1,new,MLA,MLA352001
MLA1123043676,Amazon Fire Tv Stick 4k De Voz 4k 8gb 1.5gb De Memoria Ram,41990,150,1,new,MLA,MLA352001
MLA1438234620,Amazon Fire Tv Stick 3ra Gen Edición 2021 Full Hd Streaming,41999,5,1,new,MLA,MLA352001
MLA1487525094,Amazon Fire Tv Stick Lite  Control De Voz Full Hd 8gb Negro,41000,3,1,new,MLA,MLA352001
MLA1113069412,Amazon Fire Tv Stick Lite Control Voz Full Hd 8gb 1gb Ram,44999,2,1,new,MLA,MLA352001
MLA1369238847,Amazon Fire Tv Stick Lite Control De Voz Full Hd 8gb 1gb Ram,41999,25,1,new,MLA,MLA352001
MLA1359581075,Amazon Fire Tv Stick Lite Hd 8gb Hdr Dolby 1080p Control Voz,39999,5,1,new,MLA,MLA352001
MLA1113069432,Amazon Fire Tv Stick Lite Control Voz Full Hd 8gb 1gb Ram,64999,1,1,new,MLA,MLA352001
MLA1137589548,Amazon Fire Tv Stick Lite De Voz Full Hd 8gb Con Fuente 220v,47285,50,1,new,MLA,MLA352001
MLA1137595294,Amazon Fire Tv Stick Lite Full Hd 8gb Con Fuente 220v De Voz,47286,50,1,new,MLA,MLA352001
MLA1420559034,Amazon Fire Tv Stick 3era Generación Full Hd 8gb 1gb,60898.55,2,1,new,MLA,MLA352001
MLA931506097,Amazon Fire Tv Stick Lite 8gb Alexa Streaming Tv Netflix,119990,4,500,new,MLA,MLA352001
MLA1286463064,Amazon Fire Tv Stick Lite Hd 8gb Hdr Dolby 1080p Control Voz,39999,100,1,new,MLA,MLA352001
MLA1138106739,Amazon Fire Tv Stick De Voz 4k 8gb Fuente 220 Cuot.s S/ Int-,89996,5,1,new,MLA,MLA352001
MLA1137570772,Amazon Fire Tv Stick Lite De Voz Full Hd 8gb + Fuente 220v!,47284,50,1,new,MLA,MLA352001
MLA1144622469,Amazon Fire Tv Stick 4k Max Con Control De Voz Alexa,56299,5,1,new,MLA,MLA352001
MLA1447414004,Amazon Fire Tv Stick 4k 8gb 1.5gb Ram Streaming Control Voz,42899,2,1,new,MLA,MLA352001
MLA1384847925,Amazon Tv Stick Fire 4k Max Full Hd Alexa 2gb Ram 1era Gen,61999,2,1,new,MLA,MLA352001
MLA1373149393,Amazon Fire Tv Stick Lite 2022 Full Hd 8gb Streaming ,39999,2,1,new,MLA,MLA352001
MLA1434732098,Amazon Fire Tv Stick 3ra Gen 2021 Streaming Alexa Control ,41999,1,1,new,MLA,MLA352001
MLA1142197777,Amazon Fire Tv Stick Lite De Voz Full Hd 8gb Negro Con 1gb,38950,25,1,new,MLA,MLA352001
MLA1144084762,Amazon Fire Tv Stick 4k 8gb Negro Con 1.5gb De Memoria Ram,42899,50,1,new,MLA,MLA352001
MLA1438260918,Amazon Fire Tv Stick Edición 2021 Full Hd 8gb Streaming,41999,3,1,new,MLA,MLA352001
MLA1372865557,Amazon Fire Tv Stick Lite 2022 Full Hd 8gb Streaming ,39999,5,1,new,MLA,MLA352001
MLA1138112896,Amazon Fire Tv Stick De Voz 4k 8gb Cargador + Cuot.s S/ Int-,88997,5,1,new,MLA,MLA352001
MLA1286072659,Amazon Fire Tv Stick Lite Con Cargador Cuot.s S/ Inter.s!,67888,1,1,new,MLA,MLA352001
MLA1242345660,Amazon Fire Tv Stick Control 4k De Voz 8gb Negro 1.5gb Ram,63999,1,1,new,MLA,MLA352001
MLA1409003536,Amazon Fire Tv Stick Lite 2022 Control De Voz Full Hd 8gb,52998,1,1,new,MLA,MLA352001
MLA1142228894,Amazon Fire Tv Stick 4k De Voz 4k 8gb Negro Con 1.5gb De Ram,38775,25,1,new,MLA,MLA352001
MLA1137570623,Amazon Fire Tv Stick Lite De Voz Full Hd 8gb + Cargador 220v,47288,100,1,new,MLA,MLA352001
MLA1369051919,Amazon Fire Tv Stick 4k De Voz 3° Gen 8gb Cargador Original!,63888,3,1,new,MLA,MLA352001
MLA1524545276,Amazon Fire Tv Stick 4k 8 Gb 1.5 Gb Con Control De Voz,39499.21,0,1,new,MLA,MLA352001
MLA931501354,Amazon Fire Tv Stick Lite Control Por Voz Alexa Full Hd,69990,25,500,new,MLA,MLA352001
MLA1114888852, Amazon Fire Tv Stick Lite Full Hd 8gb Smart Tv,49600,5,1,new,MLA,MLA352001
MLA1286552519,Amazon Fire Tv Stick Lite Hd 8gb Hdr Control Voz Dolby 1080p,56699,5,1,new,MLA,MLA352001
MLA1106521661,Amazon Fire Tv Stick Lite Full Hd 8gb 1gb Ram Streaming ,39999,150,1,new,MLA,MLA352001
MLA931502670, Amazon Fire Tv Stick Lite 8gb 1gb Ram Alexa,119990,2,500,new,MLA,MLA352001
MLA1106948651,Amazon Fire Tv Stick Lite Full Hd 8gb 1gb Ram Streaming,39999,100,1,new,MLA,MLA352001
MLA864435736,"Amazon Fire Tv Stick 4k 8gb 1,5gb Ram Convertidor Smart Tv",179990,5,500,new,MLA,MLA352001
MLA1485847292,Xiaomi Mi Tv Stick Mdz-24-aa - Negro - 8 Gb - 1 Gb - Control De Voz,45599.99,25,1,new,MLA,MLA352001
